 100 HI  0.0000000000E+00  0.1000000000E-09  A
 101 OL  0.1079700000E-20  0.3553200000E-09  A
 102 HL  0.0000000000E+00  0.1000000000E-09  A
 103 SW  0.3473840830E-18  0.2351670237E-09  A
 104 GE  0.3092207400E-18  0.2448089727E-09  A
 105 CF  0.4585480000E-21  0.3928620000E-09  G
 106 CG  0.4585480000E-21  0.3928620000E-09  G
 107 FF  0.3682280000E-21  0.3311260000E-09  G
 108 FG  0.3682280000E-21  0.3311260000E-09  G
 109 KR  2.1800440130E-21  0.4231681922E-09  A
 110 A1  0.1653300000E-20  0.3842900000E-09  A 
 111 A2  0.1653300000E-20  0.3842900000E-09  A              
ENDS

# Represented by SI unit, epsilon [J] & Rij [m].
# Unit conversion
# 1 kcal/mol = 6.9476948E-21 J
# Rij = sigmaij * 2**(1/6)
