    1 CM -2.616E-10  0.096E-10  0.737E-10
    2 CA -1.453E-10  0.665E-10 -0.091E-10
    3 CA -0.167E-10 -0.146E-10  0.131E-10
    4 SA  1.298E-10  0.498E-10 -0.735E-10
    5 GA  2.938E-10 -1.112E-10 -0.042E-10
END
