   1 CV -0.11870E-09  0.13120E-07 -0.75563E-08
   2 CU -0.16730E-09  0.13049E-07 -0.74340E-08
   3 CU -0.11640E-09  0.12909E-07 -0.74354E-08
   4 CU -0.16500E-09  0.12838E-07 -0.73131E-08
   5 CU -0.11410E-09  0.12698E-07 -0.73146E-08
   6 CU -0.16270E-09  0.12627E-07 -0.71922E-08
   7 CU -0.11180E-09  0.12487E-07 -0.71937E-08
   8 CU -0.16040E-09  0.12416E-07 -0.70714E-08
   9 CU -0.10950E-09  0.12276E-07 -0.70728E-08
  10 CU -0.15810E-09  0.12205E-07 -0.69505E-08
  11 CU -0.10720E-09  0.12065E-07 -0.69519E-08
  12 CU -0.15580E-09  0.11994E-07 -0.68296E-08
  13 CU -0.10490E-09  0.11854E-07 -0.68310E-08
  14 CU -0.15350E-09  0.11783E-07 -0.67087E-08
  15 CU -0.10260E-09  0.11643E-07 -0.67101E-08
  16 CU -0.15120E-09  0.11572E-07 -0.65878E-08
  17 CU -0.10020E-09  0.11432E-07 -0.65892E-08
  18 CU -0.14890E-09  0.11361E-07 -0.64669E-08
  19 CU -0.97900E-10  0.11220E-07 -0.64683E-08
  20 CU -0.14660E-09  0.11150E-07 -0.63460E-08
  21 CU -0.95600E-10  0.11010E-07 -0.63474E-08
  22 CU -0.14430E-09  0.10939E-07 -0.62251E-08
  23 CU -0.93300E-10  0.10798E-07 -0.62266E-08
  24 CU -0.14200E-09  0.10728E-07 -0.61042E-08
  25 CU -0.91000E-10  0.10587E-07 -0.61057E-08
  26 CU -0.13970E-09  0.10517E-07 -0.59834E-08
  27 CU -0.88700E-10  0.10376E-07 -0.59848E-08
  28 CU -0.13730E-09  0.10306E-07 -0.58625E-08
  29 CU -0.86400E-10  0.10165E-07 -0.58639E-08
  30 CU -0.13500E-09  0.10095E-07 -0.57416E-08
  31 CU -0.84100E-10  0.99543E-08 -0.57430E-08
  32 CU -0.13270E-09  0.98836E-08 -0.56207E-08
  33 CU -0.81800E-10  0.97432E-08 -0.56221E-08
  34 CU -0.13040E-09  0.96726E-08 -0.54998E-08
  35 CU -0.79500E-10  0.95322E-08 -0.55012E-08
  36 CU -0.12810E-09  0.94616E-08 -0.53789E-08
  37 CU -0.77200E-10  0.93211E-08 -0.53803E-08
  38 CU -0.12580E-09  0.92505E-08 -0.52580E-08
  39 CU -0.74900E-10  0.91101E-08 -0.52594E-08
  40 CU -0.12350E-09  0.90395E-08 -0.51371E-08
  41 CU -0.72600E-10  0.88991E-08 -0.51386E-08
  42 CU -0.12120E-09  0.88284E-08 -0.50162E-08
  43 CU -0.70300E-10  0.86880E-08 -0.50177E-08
  44 CU -0.11890E-09  0.86174E-08 -0.48953E-08
  45 CU -0.67900E-10  0.84770E-08 -0.48968E-08
  46 CU -0.11660E-09  0.84063E-08 -0.47745E-08
  47 CU -0.65600E-10  0.82659E-08 -0.47759E-08
  48 CU -0.11430E-09  0.81953E-08 -0.46536E-08
  49 CU -0.63300E-10  0.80549E-08 -0.46550E-08
  50 CU -0.11200E-09  0.79843E-08 -0.45327E-08
  51 CU -0.61000E-10  0.78438E-08 -0.45341E-08
  52 CU -0.10970E-09  0.77732E-08 -0.44118E-08
  53 CU -0.58700E-10  0.76328E-08 -0.44132E-08
  54 CU -0.10740E-09  0.75622E-08 -0.42909E-08
  55 CU -0.56400E-10  0.74218E-08 -0.42923E-08
  56 CU -0.10500E-09  0.73511E-08 -0.41700E-08
  57 CU -0.54100E-10  0.72107E-08 -0.41714E-08
  58 CU -0.10270E-09  0.71401E-08 -0.40491E-08
  59 CU -0.51800E-10  0.69997E-08 -0.40505E-08
  60 CU -0.10040E-09  0.69290E-08 -0.39282E-08
  61 CU -0.49500E-10  0.67886E-08 -0.39297E-08
  62 CU -0.98100E-10  0.67180E-08 -0.38073E-08
  63 CU -0.47200E-10  0.65776E-08 -0.38088E-08
  64 CU -0.95800E-10  0.65070E-08 -0.36865E-08
  65 CU -0.44900E-10  0.63665E-08 -0.36879E-08
  66 CU -0.93500E-10  0.62959E-08 -0.35656E-08
  67 CU -0.42600E-10  0.61555E-08 -0.35670E-08
  68 CU -0.91200E-10  0.60849E-08 -0.34447E-08
  69 CU -0.40300E-10  0.59445E-08 -0.34461E-08
  70 CU -0.88900E-10  0.58738E-08 -0.33238E-08
  71 CU -0.38000E-10  0.57334E-08 -0.33252E-08
  72 CU -0.86600E-10  0.56628E-08 -0.32029E-08
  73 CU -0.35600E-10  0.55224E-08 -0.32043E-08
  74 CU -0.84300E-10  0.54518E-08 -0.30820E-08
  75 CU -0.33300E-10  0.53113E-08 -0.30834E-08
  76 CU -0.82000E-10  0.52407E-08 -0.29611E-08
  77 CU -0.31000E-10  0.51003E-08 -0.29625E-08
  78 CU -0.79700E-10  0.50297E-08 -0.28402E-08
  79 CU -0.28700E-10  0.48893E-08 -0.28416E-08
  80 CU -0.77400E-10  0.48186E-08 -0.27193E-08
  81 CU -0.26400E-10  0.46782E-08 -0.27208E-08
  82 CU -0.75100E-10  0.46076E-08 -0.25984E-08
  83 CU -0.24100E-10  0.44672E-08 -0.25999E-08
  84 CU -0.72800E-10  0.43965E-08 -0.24775E-08
  85 CU -0.21800E-10  0.42561E-08 -0.24790E-08
  86 CU -0.70400E-10  0.41855E-08 -0.23567E-08
  87 CU -0.19500E-10  0.40451E-08 -0.23581E-08
  88 CU -0.68100E-10  0.39745E-08 -0.22358E-08
  89 CU -0.17200E-10  0.38340E-08 -0.22372E-08
  90 CU -0.65800E-10  0.37634E-08 -0.21149E-08
  91 CU -0.14900E-10  0.36230E-08 -0.21163E-08
  92 CU -0.63500E-10  0.35524E-08 -0.19940E-08
  93 CU -0.12600E-10  0.34120E-08 -0.19954E-08
  94 CU -0.61200E-10  0.33413E-08 -0.18731E-08
  95 CU -0.10300E-10  0.32009E-08 -0.18745E-08
  96 CU -0.58900E-10  0.31303E-08 -0.17522E-08
  97 CU -0.80000E-11  0.29899E-08 -0.17536E-08
  98 CU -0.56600E-10  0.29193E-08 -0.16313E-08
  99 CU -0.57000E-11  0.27788E-08 -0.16327E-08
