    1 SI   0.24000E-09  0.33255E-08  0.35275E-08  0.1080000000000000E+01
    2 SI   0.72000E-09  0.33255E-08  0.35275E-08  0.1080000000000000E+01
    3 SI   0.12000E-08  0.33255E-08  0.35275E-08  0.1080000000000000E+01
    4 SI   0.28800E-08  0.41569E-09  0.35275E-08  0.1080000000000000E+01
    5 SI   0.48000E-09  0.41569E-09  0.35275E-08  0.1080000000000000E+01
    6 SI   0.96000E-09  0.41569E-09  0.35275E-08  0.1080000000000000E+01
    7 SI   0.12000E-09  0.20785E-09  0.33509E-08  0.1080000000000000E+01
    8 SI   0.60000E-09  0.20785E-09  0.33509E-08  0.1080000000000000E+01
    9 SI   0.10800E-08  0.20785E-09  0.33509E-08  0.1080000000000000E+01
   10 SI   0.36000E-09  0.62354E-09  0.33509E-08  0.1080000000000000E+01
   11 SI   0.84000E-09  0.62354E-09  0.33509E-08  0.1080000000000000E+01
   12 SI   0.13200E-08  0.62354E-09  0.33509E-08  0.1080000000000000E+01
   13 SH   0.36000E-09  0.20785E-09  0.31742E-08  0.8000000000000000E+00
   14 SH   0.84000E-09  0.20785E-09  0.31742E-08  0.8000000000000000E+00
   15 SH   0.13200E-08  0.20785E-09  0.31742E-08  0.8000000000000000E+00
   16 SH   0.12000E-09  0.62354E-09  0.31742E-08  0.8000000000000000E+00
   17 SH   0.60000E-09  0.62354E-09  0.31742E-08  0.8000000000000000E+00
   18 SH   0.10800E-08  0.62354E-09  0.31742E-08  0.8000000000000000E+00
   19 SI   0.16800E-08  0.33255E-08  0.35275E-08  0.1080000000000000E+01
   20 SI   0.21600E-08  0.33255E-08  0.35275E-08  0.1080000000000000E+01
   21 SI   0.26400E-08  0.33255E-08  0.35275E-08  0.1080000000000000E+01
   22 SI   0.14400E-08  0.41569E-09  0.35275E-08  0.1080000000000000E+01
   23 SI   0.19200E-08  0.41569E-09  0.35275E-08  0.1080000000000000E+01
   24 SI   0.24000E-08  0.41569E-09  0.35275E-08  0.1080000000000000E+01
   25 SI   0.15600E-08  0.20785E-09  0.33509E-08  0.1080000000000000E+01
   26 SI   0.20400E-08  0.20785E-09  0.33509E-08  0.1080000000000000E+01
   27 SI   0.25200E-08  0.20785E-09  0.33509E-08  0.1080000000000000E+01
   28 SI   0.18000E-08  0.62354E-09  0.33509E-08  0.1080000000000000E+01
   29 SI   0.22800E-08  0.62354E-09  0.33509E-08  0.1080000000000000E+01
   30 SI   0.27600E-08  0.62354E-09  0.33509E-08  0.1080000000000000E+01
   31 SH   0.18000E-08  0.20785E-09  0.31742E-08  0.8000000000000000E+00
   32 SH   0.22800E-08  0.20785E-09  0.31742E-08  0.8000000000000000E+00
   33 SH   0.27600E-08  0.20785E-09  0.31742E-08  0.8000000000000000E+00
   34 SH   0.15600E-08  0.62354E-09  0.31742E-08  0.8000000000000000E+00
   35 SH   0.20400E-08  0.62354E-09  0.31742E-08  0.8000000000000000E+00
   36 SH   0.25200E-08  0.62354E-09  0.31742E-08  0.8000000000000000E+00
   37 SI   0.24000E-09  0.83138E-09  0.35275E-08  0.1080000000000000E+01
   38 SI   0.72000E-09  0.83138E-09  0.35275E-08  0.1080000000000000E+01
   39 SI   0.12000E-08  0.83138E-09  0.35275E-08  0.1080000000000000E+01
   40 SI   0.28800E-08  0.12471E-08  0.35275E-08  0.1080000000000000E+01
   41 SI   0.48000E-09  0.12471E-08  0.35275E-08  0.1080000000000000E+01
   42 SI   0.96000E-09  0.12471E-08  0.35275E-08  0.1080000000000000E+01
   43 SI   0.12000E-09  0.10392E-08  0.33509E-08  0.1080000000000000E+01
   44 SI   0.60000E-09  0.10392E-08  0.33509E-08  0.1080000000000000E+01
   45 SI   0.10800E-08  0.10392E-08  0.33509E-08  0.1080000000000000E+01
   46 SI   0.36000E-09  0.14549E-08  0.33509E-08  0.1080000000000000E+01
   47 SI   0.84000E-09  0.14549E-08  0.33509E-08  0.1080000000000000E+01
   48 SI   0.13200E-08  0.14549E-08  0.33509E-08  0.1080000000000000E+01
   49 SH   0.36000E-09  0.10392E-08  0.31742E-08  0.8000000000000000E+00
   50 SH   0.84000E-09  0.10392E-08  0.31742E-08  0.8000000000000000E+00
   51 SH   0.13200E-08  0.10392E-08  0.31742E-08  0.8000000000000000E+00
   52 SH   0.12000E-09  0.14549E-08  0.31742E-08  0.8000000000000000E+00
   53 SH   0.60000E-09  0.14549E-08  0.31742E-08  0.8000000000000000E+00
   54 SH   0.10800E-08  0.14549E-08  0.31742E-08  0.8000000000000000E+00
   55 SI   0.16800E-08  0.83138E-09  0.35275E-08  0.1080000000000000E+01
   56 SI   0.21600E-08  0.83138E-09  0.35275E-08  0.1080000000000000E+01
   57 SI   0.26400E-08  0.83138E-09  0.35275E-08  0.1080000000000000E+01
   58 SI   0.14400E-08  0.12471E-08  0.35275E-08  0.1080000000000000E+01
   59 SI   0.19200E-08  0.12471E-08  0.35275E-08  0.1080000000000000E+01
   60 SI   0.24000E-08  0.12471E-08  0.35275E-08  0.1080000000000000E+01
   61 SI   0.15600E-08  0.10392E-08  0.33509E-08  0.1080000000000000E+01
   62 SI   0.20400E-08  0.10392E-08  0.33509E-08  0.1080000000000000E+01
   63 SI   0.25200E-08  0.10392E-08  0.33509E-08  0.1080000000000000E+01
   64 SI   0.18000E-08  0.14549E-08  0.33509E-08  0.1080000000000000E+01
   65 SI   0.22800E-08  0.14549E-08  0.33509E-08  0.1080000000000000E+01
   66 SI   0.27600E-08  0.14549E-08  0.33509E-08  0.1080000000000000E+01
