<BOND>
    87    14    15    55 C1-C2-H2
    88    14    28    78 C1-C3-H3
    89    14    28    79 C1-C3-H3
    90    14    28    80 C1-C3-H3
    91    15    14    28 C2-C1-C3
    92    15    14    38 C2-C1-H1
    93    15    16    17 C2-C1-C2
    94    15    16    29 C2-C1-C3
    95    15    16    39 C2-C1-H1
    96    16    15    54 C1-C2-H2
    97    16    15    55 C1-C2-H2
    98    16    17    18 C1-C2-C1
    99    16    17    56 C1-C2-H2
   100    16    17    57 C1-C2-H2
   101    16    29    81 C1-C3-H3
   102    16    29    82 C1-C3-H3
   103    16    29    83 C1-C3-H3
   104    17    16    29 C2-C1-C3
   105    17    16    39 C2-C1-H1
   106    17    18    19 C2-C1-C2
   107    17    18    30 C2-C1-C3
   108    17    18    40 C2-C1-H1
   109    18    17    56 C1-C2-H2
   110    18    17    57 C1-C2-H2
   111    18    19    20 C1-C2-C1
   112    18    19    58 C1-C2-H2
   113    18    19    59 C1-C2-H2
   114    18    30    84 C1-C3-H3
   115    18    30    85 C1-C3-H3
   116    18    30    86 C1-C3-H3
   117    19    18    30 C2-C1-C3
   118    19    18    40 C2-C1-H1
   119    19    20    21 C2-C1-C3
   120    19    20    31 C2-C1-C3
   121    19    20    41 C2-C1-H1
   122    20    19    58 C1-C2-H2
   123    20    19    59 C1-C2-H2
   124    20    21    93 C1-C3-H3
   125    20    21    94 C1-C3-H3
   126    20    21    95 C1-C3-H3
   127    20    31    87 C1-C3-H3
   128    20    31    88 C1-C3-H3
   129    20    31    89 C1-C3-H3
   130    21    20    31 C3-C1-C3
   131    21    20    41 C3-C1-H1
   132    22     2    32 C3-C1-H1
   133    23     4    33 C3-C1-H1
   134    24     6    34 C3-C1-H1
   135    25     8    35 C3-C1-H1
   136    26    10    36 C3-C1-H1
   137    27    12    37 C3-C1-H1
   138    28    14    38 C3-C1-H1
   139    29    16    39 C3-C1-H1
   140    30    18    40 C3-C1-H1
   141    31    20    41 C3-C1-H1
   142    42     3    43 H2-C2-H2
   143    44     5    45 H2-C2-H2
   144    46     7    47 H2-C2-H2
   145    48     9    49 H2-C2-H2
   146    50    11    51 H2-C2-H2
   147    52    13    53 H2-C2-H2
   148    54    15    55 H2-C2-H2
   149    56    17    57 H2-C2-H2
   150    58    19    59 H2-C2-H2
   151    60    22    61 H3-C3-H3
   152    60    22    62 H3-C3-H3
   153    61    22    62 H3-C3-H3
   154    63    23    64 H3-C3-H3
   155    63    23    65 H3-C3-H3
   156    64    23    65 H3-C3-H3
   157    66    24    67 H3-C3-H3
   158    66    24    68 H3-C3-H3
   159    67    24    68 H3-C3-H3
   160    69    25    70 H3-C3-H3
   161    69    25    71 H3-C3-H3
   162    70    25    71 H3-C3-H3
   163    72    26    73 H3-C3-H3
   164    72    26    74 H3-C3-H3
   165    73    26    74 H3-C3-H3
   166    75    27    76 H3-C3-H3
   167    75    27    77 H3-C3-H3
   168    76    27    77 H3-C3-H3
   169    78    28    79 H3-C3-H3
   170    78    28    80 H3-C3-H3
   171    79    28    80 H3-C3-H3
   172    81    29    82 H3-C3-H3
   173    81    29    83 H3-C3-H3
   174    82    29    83 H3-C3-H3
   175    84    30    85 H3-C3-H3
   176    84    30    86 H3-C3-H3
   177    85    30    86 H3-C3-H3
   178    87    31    88 H3-C3-H3
   179    87    31    89 H3-C3-H3
   180    88    31    89 H3-C3-H3
   181    90     1    91 H3-C3-H3
   182    90     1    92 H3-C3-H3
   183    91     1    92 H3-C3-H3
   184    93    21    94 H3-C3-H3
   185    93    21    95 H3-C3-H3
   186    94    21    95 H3-C3-H3

<TORSION>
     1     1     2     3     4  X-C1-C2-X 
     2     1     2     3    42  X-C1-C2-X 
     3     1     2     3    43  X-C1-C2-X 
     4     1     2    22    60  X-C1-C3-X 
     5     1     2    22    61  X-C1-C3-X 
     6     1     2    22    62  X-C1-C3-X 
     7     2     3     4     5  X-C1-C2-X 
     8     2     3     4    23  X-C1-C2-X 
     9     2     3     4    33  X-C1-C2-X 
    10     3     2     1    90  X-C1-C3-X 
    11     3     2     1    91  X-C1-C3-X 
    12     3     2     1    92  X-C1-C3-X 
    13     3     2    22    60  X-C1-C3-X 
    14     3     2    22    61  X-C1-C3-X 
    15     3     2    22    62  X-C1-C3-X 
    16     3     4     5     6  X-C1-C2-X 
    17     3     4     5    44  X-C1-C2-X 
    18     3     4     5    45  X-C1-C2-X 
    19     3     4    23    63  X-C1-C3-X 
    20     3     4    23    64  X-C1-C3-X 
    21     3     4    23    65  X-C1-C3-X 
    22     4     3     2    22  X-C1-C2-X 
    23     4     3     2    32  X-C1-C2-X 
    24     4     5     6     7  X-C1-C2-X 
    25     4     5     6    24  X-C1-C2-X 
    26     4     5     6    34  X-C1-C2-X 
    27     5     4     3    42  X-C1-C2-X 
    28     5     4     3    43  X-C1-C2-X 
    29     5     4    23    63  X-C1-C3-X 
    30     5     4    23    64  X-C1-C3-X 
    31     5     4    23    65  X-C1-C3-X 
    32     5     6     7     8  X-C1-C2-X 
    33     5     6     7    46  X-C1-C2-X 
    34     5     6     7    47  X-C1-C2-X 
    35     5     6    24    66  X-C1-C3-X 
    36     5     6    24    67  X-C1-C3-X 
    37     5     6    24    68  X-C1-C3-X 
    38     6     5     4    23  X-C1-C2-X 
    39     6     5     4    33  X-C1-C2-X 
    40     6     7     8     9  X-C1-C2-X 
    41     6     7     8    25  X-C1-C2-X 
    42     6     7     8    35  X-C1-C2-X 
    43     7     6     5    44  X-C1-C2-X 
    44     7     6     5    45  X-C1-C2-X 
    45     7     6    24    66  X-C1-C3-X 
    46     7     6    24    67  X-C1-C3-X 
    47     7     6    24    68  X-C1-C3-X 
    48     7     8     9    10  X-C1-C2-X 
    49     7     8     9    48  X-C1-C2-X 
    50     7     8     9    49  X-C1-C2-X 
    51     7     8    25    69  X-C1-C3-X 
    52     7     8    25    70  X-C1-C3-X 
    53     7     8    25    71  X-C1-C3-X 
    54     8     7     6    24  X-C1-C2-X 
    55     8     7     6    34  X-C1-C2-X 
    56     8     9    10    11  X-C1-C2-X 
    57     8     9    10    26  X-C1-C2-X 
    58     8     9    10    36  X-C1-C2-X 
    59     9     8     7    46  X-C1-C2-X 
    60     9     8     7    47  X-C1-C2-X 
    61     9     8    25    69  X-C1-C3-X 
    62     9     8    25    70  X-C1-C3-X 
    63     9     8    25    71  X-C1-C3-X 
    64     9    10    11    12  X-C1-C2-X 
    65     9    10    11    50  X-C1-C2-X 
    66     9    10    11    51  X-C1-C2-X 
    67     9    10    26    72  X-C1-C3-X 
    68     9    10    26    73  X-C1-C3-X 
    69     9    10    26    74  X-C1-C3-X 
    70    10     9     8    25  X-C1-C2-X 
    71    10     9     8    35  X-C1-C2-X 
    72    10    11    12    13  X-C1-C2-X 
    73    10    11    12    27  X-C1-C2-X 
    74    10    11    12    37  X-C1-C2-X 
    75    11    10     9    48  X-C1-C2-X 
    76    11    10     9    49  X-C1-C2-X 
    77    11    10    26    72  X-C1-C3-X 
    78    11    10    26    73  X-C1-C3-X 
    79    11    10    26    74  X-C1-C3-X 
    80    11    12    13    14  X-C1-C2-X 
    81    11    12    13    52  X-C1-C2-X 
