<BOND>
   1   1   2 CO-CO
   4   1   4   6   8 CO-CO-CO-CO
   5   1   4   6  30 HP-CO-CO-CO
   6   1   4   6  31 HP-CO-CO-CO
   7   2   1   4   6 CO-CO-CO-CO
   8   2   1   4  26 HP-CO-CO-CO
   9   2   1   4  27 HP-CO-CO-CO
  10   2   3   5   7 CO-CO-CO-CO
  11   2   3   5  28 HP-CO-CO-CO
  12   2   3   5  29 HP-CO-CO-CO
  13   3   2   1   4 CO-CO-CO-CO
  14   3   2   1  20 HP-CO-CO-CO
  15   3   2   1  21 HP-CO-CO-CO
  16   3   5   7   9 CO-CO-CO-CO
  17   3   5   7  32 HP-CO-CO-CO
  18   3   5   7  33 HP-CO-CO-CO
  19   4   1   2  22 HP-CO-CO-CO
  20   4   1   2  23 HP-CO-CO-CO
  21   4   6   8  10 CO-CO-CO-CO
  22   4   6   8  34 HP-CO-CO-CO
  23   4   6   8  35 HP-CO-CO-CO
  24   5   3   2  22 HP-CO-CO-CO
  25   5   3   2  23 HP-CO-CO-CO
  26   5   7   9  11 CO-CO-CO-CO
  27   5   7   9  36 HP-CO-CO-CO
  28   5   7   9  37 HP-CO-CO-CO
  29   6   4   1  20 HP-CO-CO-CO
  30   6   4   1  21 HP-CO-CO-CO
  31   6   8  10  12 CO-CO-CO-CO
  32   6   8  10  38 HP-CO-CO-CO
  33   6   8  10  39 HP-CO-CO-CO
  34   7   5   3  24 HP-CO-CO-CO
  35   7   5   3  25 HP-CO-CO-CO
  36   7   9  11  13 CO-CO-CO-CO
  37   7   9  11  40 HP-CO-CO-CO
  38   7   9  11  41 HP-CO-CO-CO
  39   8   6   4  26 HP-CO-CO-CO
  40   8   6   4  27 HP-CO-CO-CO
  41   8  10  12  14 CO-CO-CO-CO
  42   8  10  12  42 HP-CO-CO-CO
  43   8  10  12  43 HP-CO-CO-CO
  44   9   7   5  28 HP-CO-CO-CO
  45   9   7   5  29 HP-CO-CO-CO
  46   9  11  13  15 CO-CO-CO-CO
  47   9  11  13  44 HP-CO-CO-CO
  48   9  11  13  45 HP-CO-CO-CO
  49  10   8   6  30 HP-CO-CO-CO
  50  10   8   6  31 HP-CO-CO-CO
  51  10  12  14  16 CO-CO-CO-CO
  52  10  12  14  46 HP-CO-CO-CO
  53  10  12  14  47 HP-CO-CO-CO
  54  11   9   7  32 HP-CO-CO-CO
  55  11   9   7  33 HP-CO-CO-CO
  56  11  13  15  17 CO-CO-CO-CS
  57  11  13  15  48 HP-CO-CO-CO
  58  11  13  15  49 HP-CO-CO-CO
  59  12  10   8  34 HP-CO-CO-CO
  60  12  10   8  35 HP-CO-CO-CO
  61  12  14  16  18 CP-CO-CO-CO
  62  12  14  16  50 HP-CO-CO-CO
  63  12  14  16  51 HP-CO-CO-CO
  64  13  11   9  36 HP-CO-CO-CO
  65  13  11   9  37 HP-CO-CO-CO
  66  13  15  17  19 CO-CO-CS-SS
  67  13  15  17  52 HP-CS-CO-CO
  68  13  15  17  53 HP-CS-CO-CO
  69  14  12  10  38 HP-CO-CO-CO
  70  14  12  10  39 HP-CO-CO-CO
  71  14  16  18  54 HP-CP-CO-CO
  72  14  16  18  55 HP-CP-CO-CO
  73  14  16  18  56 HP-CP-CO-CO
  74  15  13  11  40 HP-CO-CO-CO
  75  15  13  11  41 HP-CO-CO-CO
  76  15  17  19  57 CO-CS-SS-HS
  77  16  14  12  42 HP-CO-CO-CO
  78  16  14  12  43 HP-CO-CO-CO
  79  17  15  13  44 HP-CO-CO-CS
  80  17  15  13  45 HP-CO-CO-CS
  81  18  16  14  46 HP-CO-CO-CP
  82  18  16  14  47 HP-CO-CO-CP
  83  19  17  15  48 HP-CO-CS-SS
  84  19  17  15  49 HP-CO-CS-SS
  85  20   1   2  22 HP-CO-CO-HP
  86  20   1   2  23 HP-CO-CO-HP
  87  20   1   4  26 HP-CO-CO-HP
  88  20   1   4  27 HP-CO-CO-HP
