<BOND>
   1   1   2 CO-CO
   2   1   4 CO-CO
   3   1  25 CO-HP
   4   1  26 CO-HP
   5   2   3 CO-CO
   6   2  27 CO-HP
   7   2  28 CO-HP
   8   3   5 CO-CO
   9   3  29 CO-HP
  10   3  30 CO-HP
  11   4   6 CO-CO
  12   4  31 CO-HP
  13   4  32 CO-HP
  14   5   7 CO-CO
  15   5  33 CO-HP
  16   5  34 CO-HP
  17   6   8 CO-CO
  18   6  35 CO-HP
  19   6  36 CO-HP
  20   7   9 CO-CO
  21   7  37 CO-HP
  22   7  38 CO-HP
  23   8  10 CO-CO
  24   8  39 CO-HP
  25   8  40 CO-HP
  26   9  11 CO-CO
  27   9  41 CO-HP
  28   9  42 CO-HP
  29  10  12 CO-CO
  30  10  43 CO-HP
  31  10  44 CO-HP
  32  11  13 CO-CO
  33  11  45 CO-HP
  34  11  46 CO-HP
  35  12  14 CO-CO
  36  12  47 CO-HP
  37  12  48 CO-HP
  38  13  15 CO-CO
  39  13  49 CO-HP
  40  13  50 CO-HP
  41  14  16 CO-CO
  42  14  51 CO-HP
  43  14  52 CO-HP
  44  15  17 CO-CO
  45  15  53 CO-HP
  46  15  54 CO-HP
  47  16  18 CO-CO
  48  16  55 CO-HP
  49  16  56 CO-HP
  50  17  19 CO-CO
  51  17  57 CO-HP
  52  17  58 CO-HP
  53  18  20 CO-CO
  54  18  59 CO-HP
  55  18  60 CO-HP
  56  19  21 CO-CO
  57  19  61 CO-HP
  58  19  62 CO-HP
  59  20  22 CO-CO
  60  20  63 CO-HP
  61  20  64 CO-HP
  62  21  23 CP-CO
  63  21  65 CO-HP
  64  21  66 CO-HP
  65  22  24 CO-CS
  66  22  67 CO-HP
  67  22  68 CO-HP
  68  23  69 CP-HP
  69  23  70 CP-HP
  70  23  71 CP-HP
  71  24  72 CS-HP
  72  24  73 CS-SS
  73  24  74 CS-HP

<ANGLE>
   1   1   2   3 CO-CO-CO
   2   1   2  27 CO-CO-HP
   3   1   2  28 CO-CO-HP
   4   1   4   6 CO-CO-CO
   5   1   4  31 CO-CO-HP
   6   1   4  32 CO-CO-HP
   7   2   1   4 CO-CO-CO
   8   2   1  25 CO-CO-HP
   9   2   1  26 CO-CO-HP
  10   2   3   5 CO-CO-CO
  11   2   3  29 CO-CO-HP
  12   2   3  30 CO-CO-HP
  13   3   2  27 CO-CO-HP
  14   3   2  28 CO-CO-HP
  15   3   5   7 CO-CO-CO
  16   3   5  33 CO-CO-HP
  17   3   5  34 CO-CO-HP
  18   4   1  25 CO-CO-HP
  19   4   1  26 CO-CO-HP
  20   4   6   8 CO-CO-CO
  21   4   6  35 CO-CO-HP
  22   4   6  36 CO-CO-HP
  23   5   3  29 CO-CO-HP
  24   5   3  30 CO-CO-HP
  25   5   7   9 CO-CO-CO
  26   5   7  37 CO-CO-HP
  27   5   7  38 CO-CO-HP
  28   6   4  31 CO-CO-HP
  29   6   4  32 CO-CO-HP
  30   6   8  10 CO-CO-CO
  31   6   8  39 CO-CO-HP
  32   6   8  40 CO-CO-HP
  33   7   5  33 CO-CO-HP
  34   7   5  34 CO-CO-HP
  35   7   9  11 CO-CO-CO
  36   7   9  41 CO-CO-HP
  37   7   9  42 CO-CO-HP
  38   8   6  35 CO-CO-HP
  39   8   6  36 CO-CO-HP
  40   8  10  12 CO-CO-CO
  41   8  10  43 CO-CO-HP
  42   8  10  44 CO-CO-HP
  43   9   7  37 CO-CO-HP
  44   9   7  38 CO-CO-HP
  45   9  11  13 CO-CO-CO
  46   9  11  45 CO-CO-HP
  47   9  11  46 CO-CO-HP
  48  10   8  39 CO-CO-HP
  49  10   8  40 CO-CO-HP
  50  10  12  14 CO-CO-CO
  51  10  12  47 CO-CO-HP
  52  10  12  48 CO-CO-HP
  53  11   9  41 CO-CO-HP
  54  11   9  42 CO-CO-HP
  55  11  13  15 CO-CO-CO
  56  11  13  49 CO-CO-HP
  57  11  13  50 CO-CO-HP
  58  12  10  43 CO-CO-HP
  59  12  10  44 CO-CO-HP
  60  12  14  16 CO-CO-CO
  61  12  14  51 CO-CO-HP
  62  12  14  52 CO-CO-HP
  63  13  11  45 CO-CO-HP
  64  13  11  46 CO-CO-HP
  65  13  15  17 CO-CO-CO
  66  13  15  53 CO-CO-HP
  67  13  15  54 CO-CO-HP
  68  14  12  47 CO-CO-HP
  69  14  12  48 CO-CO-HP
  70  14  16  18 CO-CO-CO
  71  14  16  55 CO-CO-HP
  72  14  16  56 CO-CO-HP
  73  15  13  49 CO-CO-HP
  74  15  13  50 CO-CO-HP
  75  15  17  19 CO-CO-CO
  76  15  17  57 CO-CO-HP
  77  15  17  58 CO-CO-HP
  78  16  14  51 CO-CO-HP
  79  16  14  52 CO-CO-HP
  80  16  18  20 CO-CO-CO
  81  16  18  59 CO-CO-HP
  82  16  18  60 CO-CO-HP
  83  17  15  53 CO-CO-HP
  84  17  15  54 CO-CO-HP
  85  17  19  21 CO-CO-CO
  86  17  19  61 CO-CO-HP
  87  17  19  62 CO-CO-HP
  88  18  16  55 CO-CO-HP
  89  18  16  56 CO-CO-HP
  90  18  20  22 CO-CO-CO
  91  18  20  63 CO-CO-HP
  92  18  20  64 CO-CO-HP
  93  19  17  57 CO-CO-HP
  94  19  17  58 CO-CO-HP
  95  19  21  23 CP-CO-CO
  96  19  21  65 CO-CO-HP
  97  19  21  66 CO-CO-HP
  98  20  18  59 CO-CO-HP
  99  20  18  60 CO-CO-HP
 100  20  22  24 CO-CO-CS
 101  20  22  67 CO-CO-HP
 102  20  22  68 CO-CO-HP
 103  21  19  61 CO-CO-HP
 104  21  19  62 CO-CO-HP
 105  21  23  69 CO-CP-HP
 106  21  23  70 CO-CP-HP
 107  21  23  71 CO-CP-HP
 108  22  20  63 CO-CO-HP
 109  22  20  64 CO-CO-HP
 110  22  24  72 CO-CS-HP
 111  22  24  73 CO-CS-SS
 112  22  24  74 CO-CS-HP
 113  23  21  65 CP-CO-HP
 114  23  21  66 CP-CO-HP
 115  24  22  67 CS-CO-HP
 116  24  22  68 CS-CO-HP
 117  25   1  26 HP-CO-HP
 118  27   2  28 HP-CO-HP
 119  29   3  30 HP-CO-HP
 120  31   4  32 HP-CO-HP
 121  33   5  34 HP-CO-HP
 122  35   6  36 HP-CO-HP
 123  37   7  38 HP-CO-HP
 124  39   8  40 HP-CO-HP
 125  41   9  42 HP-CO-HP
 126  43  10  44 HP-CO-HP
 127  45  11  46 HP-CO-HP
 128  47  12  48 HP-CO-HP
 129  49  13  50 HP-CO-HP
 130  51  14  52 HP-CO-HP
 131  53  15  54 HP-CO-HP
 132  55  16  56 HP-CO-HP
 133  57  17  58 HP-CO-HP
 134  59  18  60 HP-CO-HP
 135  61  19  62 HP-CO-HP
 136  63  20  64 HP-CO-HP
 137  65  21  66 HP-CO-HP
 138  67  22  68 HP-CO-HP
 139  69  23  70 HP-CP-HP
 140  69  23  71 HP-CP-HP
 141  70  23  71 HP-CP-HP
 142  72  24  73 HP-CS-SS
 143  72  24  74 HP-CS-HP
 144  73  24  74 HP-CS-SS

<TORSION_RB>
   1   1   2   3   5 CO-CO-CO-CO
   2   1   2   3  29 HP-CO-CO-CO
   3   1   2   3  30 HP-CO-CO-CO
   4   1   4   6   8 CO-CO-CO-CO
   5   1   4   6  35 HP-CO-CO-CO
   6   1   4   6  36 HP-CO-CO-CO
   7   2   1   4   6 CO-CO-CO-CO
   8   2   1   4  31 HP-CO-CO-CO
   9   2   1   4  32 HP-CO-CO-CO
  10   2   3   5   7 CO-CO-CO-CO
  11   2   3   5  33 HP-CO-CO-CO
  12   2   3   5  34 HP-CO-CO-CO
  13   3   2   1   4 CO-CO-CO-CO
  14   3   2   1  25 HP-CO-CO-CO
  15   3   2   1  26 HP-CO-CO-CO
  16   3   5   7   9 CO-CO-CO-CO
  17   3   5   7  37 HP-CO-CO-CO
  18   3   5   7  38 HP-CO-CO-CO
  19   4   1   2  27 HP-CO-CO-CO
  20   4   1   2  28 HP-CO-CO-CO
  21   4   6   8  10 CO-CO-CO-CO
