   1 SS  0.00000E+00  0.00000E+00  0.00000E+00 -0.18
   2 CS -0.97000E-10  0.42000E-11  0.15580E-09  0.06
   3 HP -0.15340E-09  0.99600E-10  0.15410E-09  0.06
   4 HP -0.17240E-09 -0.76500E-10  0.15510E-09  0.06
   5 CO -0.91000E-11 -0.42000E-11  0.28010E-09 -0.12
   6 HP  0.48400E-10 -0.98800E-10  0.28210E-09  0.06
   7 HP  0.66600E-10  0.77000E-10  0.28050E-09  0.06
   8 CO -0.95700E-10  0.59000E-11  0.40660E-09 -0.12
   9 HP -0.15250E-09  0.10080E-09  0.40630E-09  0.06
  10 HP -0.17130E-09 -0.74800E-10  0.40750E-09  0.06
  11 CO -0.84000E-11 -0.26000E-11  0.53250E-09 -0.12
  12 HP  0.48300E-10 -0.97500E-10  0.53310E-09  0.06
  13 HP  0.67300E-10  0.78000E-10  0.53160E-09  0.06
  14 CO -0.94700E-10  0.79000E-11  0.65890E-09 -0.12
  15 HP -0.15130E-09  0.10290E-09  0.65820E-09  0.06
  16 HP -0.17050E-09 -0.72700E-10  0.65970E-09  0.06
  17 CO -0.75000E-11 -0.70000E-12  0.78470E-09 -0.12
  18 HP  0.49200E-10 -0.95700E-10  0.78500E-09  0.06
  19 HP  0.68400E-10  0.79900E-10  0.78360E-09  0.06
  20 CO -0.93700E-10  0.98000E-11  0.91110E-09 -0.12
  21 HP -0.15020E-09  0.10490E-09  0.91040E-09  0.06
  22 HP -0.16950E-09 -0.70700E-10  0.91170E-09  0.06
  23 CO -0.59000E-11  0.11000E-11  0.10367E-08  0.03
  24 HP  0.50800E-10 -0.94100E-10  0.10360E-08  0.06
  25 HP  0.70300E-10  0.81500E-10  0.10346E-08  0.06
  26 CO -0.92700E-10  0.11600E-10  0.11624E-08 -0.30
  27 HP -0.14990E-09  0.10710E-09  0.11613E-08  0.10
  28 HP -0.16960E-09 -0.68800E-10  0.11625E-08  0.10
  29 CF -0.88000E-11  0.31000E-11  0.12894E-08  0.58
  30 FF  0.59600E-10 -0.11040E-09  0.13036E-08 -0.21
  31 FF  0.83100E-10  0.98800E-10  0.13021E-08 -0.21
  32 FF -0.80600E-10  0.12000E-10  0.14016E-08 -0.21
END
